geoname,level_1,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Alabama,ADF Statistic,-4.203745953,-7.748670268,-3.283457741,-3.445770496,-1.246585447,-2.294454469,-0.448619104,-3.19868797,-3.435761827,-2.637936115,-3.656052639,-2.69852437,-3.638171755
Alabama,P-value,0.004419001,2.72E-10,0.069017054,0.045566325,0.900513884,0.43701966,0.985317872,0.084663458,0.046790068,0.262743283,0.025419355,0.236695762,0.026765472
Alaska,ADF Statistic,-6.1933426,-1.841035812,-5.976539873,-3.383814193,-3.690520503,-2.325196123,0.797326814,-2.706630785,-5.032050647,-2.780127593,-1.666093107,-6.796335899,-2.673179332
Alaska,P-value,8.54E-07,0.684643121,2.46E-06,0.053588315,0.022989143,0.420066538,1,0.233339709,0.000179798,0.204339096,0.76549425,4.06E-08,0.247386639
Arizona,ADF Statistic,-4.088490695,-3.770776165,-5.72094134,-2.908371429,-4.435714144,-9.387987033,-2.408635684,-1.995382099,-1.806624981,-2.66495342,-0.652299232,-2.509986672,-2.107194287
Arizona,P-value,0.006556232,0.018099502,8.30E-06,0.159523699,0.001919365,4.91E-14,0.375038003,0.60394711,0.701555084,0.250920334,0.976101166,0.322987441,0.542065776
Arkansas,ADF Statistic,-3.182633093,-2.835114284,-3.044833095,-2.294454806,-4.387791657,-4.010173981,-2.46802587,-3.850970526,-2.644625024,-2.706556916,-1.034049404,-4.169581912,-4.898217207
Arkansas,P-value,0.08791815,0.184346449,0.119974776,0.437019473,0.002289953,0.008505336,0.344128132,0.014151397,0.259785466,0.233370152,0.939354153,0.004974163,0.000313996
California,ADF Statistic,-3.593486003,-2.206356841,-2.366290572,-4.734582155,-7.130127672,-2.571968842,-3.119773957,-3.915489689,-2.566891857,-2.665218011,-4.798068784,-2.689735181,-3.69623693
California,P-value,0.030401169,0.486273448,0.397686428,0.000608627,7.16E-09,0.292961671,0.101604547,0.011550815,0.295363724,0.250806187,0.000472056,0.240369294,0.022606261
Colorado,ADF Statistic,-3.640973667,-2.892673094,-0.968233657,-2.748145574,-3.562241473,-2.360438892,-2.890274213,1.031519511,-1.823274882,-2.594927112,0.331065928,-3.234957707,-2.957601738
Colorado,P-value,0.026550556,0.16459615,0.948241494,0.216640591,0.033187794,0.400850971,0.16538092,1,0.693428639,0.282233222,0.996388956,0.077658289,0.144322902
Connecticut,ADF Statistic,-2.645633561,-2.39575182,-4.002464875,-3.649146786,-3.261337125,-4.385817942,-4.402142289,-5.193700284,-2.633017152,-2.412776142,-0.761528633,-0.133294572,-2.227882115
Connecticut,P-value,0.259341237,0.381879848,0.00872304,0.025932141,0.072857631,0.002306556,0.002172535,9.00E-05,0.2649312,0.372848943,0.968775489,0.99260166,0.474175679
Delaware,ADF Statistic,-1.692654797,-1.511822586,-4.207839424,-3.364492476,-5.263657182,-1.985788196,-5.653691379,-5.399618477,-4.024284216,-2.204352889,-2.143427755,-5.863202434,-3.535352502
Delaware,P-value,0.754084145,0.825050829,0.00435644,0.056315872,6.63E-05,0.609153788,1.14E-05,3.63E-05,0.008119528,0.487400924,0.521708681,4.24E-06,0.035757463
Florida,ADF Statistic,-3.011088194,-3.068042373,-0.901464677,-0.102745109,-1.679997235,-2.546543158,-2.461370587,-0.567397145,-2.554891077,-3.039184089,-2.915507775,-2.490656537,-3.97441792
Florida,P-value,0.129007327,0.114039606,0.955998618,0.993030122,0.759562446,0.305096097,0.347536834,0.980542933,0.301083334,0.121453366,0.157253939,0.332649327,0.009558118
Georgia,ADF Statistic,-4.501439716,-2.968498616,-4.143133954,-2.390781293,-3.22218079,-2.818190059,-3.24422912,-3.381322306,-2.371097268,-2.36810542,-3.919757337,-4.711821659,-2.085920205
Georgia,P-value,0.001501353,0.141102078,0.00544699,0.384531261,0.08007182,0.190343675,0.075943259,0.053933863,0.395092974,0.396706586,0.011394908,0.000666117,0.553971616
Hawaii,ADF Statistic,-4.744175209,-2.879143397,-2.764251161,-5.163187043,-4.58169975,-1.124628474,-1.831761496,-1.032970118,-2.35283645,-2.793870585,-1.594088037,-4.81190137,-4.385818857
Hawaii,P-value,0.00058583,0.16939437,0.210384132,0.000102723,0.001106302,0.924840928,0.689245487,0.939510601,0.404973893,0.199204828,0.794738897,0.000446428,0.002306548
Idaho,ADF Statistic,-1.720209947,-4.727395691,-3.136210916,-4.280004243,-0.876423332,-2.891031617,-3.336211312,1.651296742,-2.301535015,-2.33885541,-2.511973828,-4.587382295,-2.98567562
Idaho,P-value,0.741904087,0.000626252,0.097877783,0.003378915,0.958610712,0.165132867,0.060512134,1,0.433101016,0.412588664,0.322001901,0.001082402,0.136129888
Illinois,ADF Statistic,-1.867392334,-3.227230041,-3.296418831,-2.824263282,-3.995983815,-4.451934773,-0.773333171,-1.266071495,-2.949893073,-2.732896974,-4.654930348,-2.838246655,-2.608079413
Illinois,P-value,0.671392917,0.079111052,0.066843294,0.188175594,0.00890994,0.001807148,0.967857388,0.896066056,0.14663271,0.222678867,0.000833063,0.183251708,0.276187679
Indiana,ADF Statistic,-3.475527752,-2.079773031,-7.213214101,-4.308160037,-3.893618199,-3.780182039,-2.772924206,-4.054237617,-2.568771068,-4.712745777,-4.485710479,-1.937073992,-4.840581386
Indiana,P-value,0.042084604,0.557403169,4.63E-09,0.003055743,0.01238015,0.01759103,0.207066733,0.00735248,0.294473389,0.000663686,0.001592835,0.635248057,0.000397438
Iowa,ADF Statistic,-3.790467678,-1.616157055,-3.438740756,-3.426401621,-2.773551079,-2.66278833,-0.587796789,0.074483812,-3.121517585,-4.609130431,-4.787416873,-5.812344021,-2.620102472
Iowa,P-value,0.01704943,0.786041547,0.046423013,0.047959146,0.206828365,0.251855575,0.979562856,0.994913483,0.101204158,0.000995338,0.000492735,5.40E-06,0.270726614
Kansas,ADF Statistic,-1.495069796,-4.893703864,-2.558459751,-4.820579375,-3.492086986,-2.871198473,-3.971190044,-3.669849868,-2.365605758,-4.049602221,-3.067634157,-4.584206553,-2.513359268
Kansas,P-value,0.830813923,0.000319876,0.299376409,0.000431031,0.040245642,0.172023177,0.009658701,0.024421081,0.398056361,0.007466719,0.114142067,0.001095698,0.32131565
Kentucky,ADF Statistic,-6.722334281,-2.042330242,-4.051692866,-2.97899055,-3.806135399,-2.464177232,-3.417874755,-4.155290338,-2.501936136,-3.54330848,0.337579602,-4.54957573,-4.453702037
Kentucky,P-value,5.94E-08,0.578199454,0.007414997,0.138049792,0.016252665,0.346097541,0.049045152,0.005224786,0.326994975,0.034980118,0.996413001,0.001250998,0.001795298
Louisiana,ADF Statistic,-0.889279826,-3.431448173,-4.25851618,-3.368918233,-3.757418296,-0.202395033,-3.275107778,-2.624964665,-3.956391396,-4.810191302,-1.821706936,-4.714320375,-3.140465726
Louisiana,P-value,0.957288894,0.04732586,0.003646455,0.055681273,0.018843804,0.991489805,0.070447251,0.268536082,0.010132129,0.000449524,0.694198496,0.000659564,0.096930367
Maine,ADF Statistic,-3.659964265,-3.25650891,-2.55922673,-2.63898053,-3.393425605,-3.7517969,0.869910467,-1.968272559,-4.569375361,-2.399792751,-0.497078068,-5.706634891,-3.402814442
Maine,P-value,0.025132811,0.07371816,0.299010226,0.262280125,0.052272525,0.019164974,1,0.618604957,0.00115985,0.37972912,0.983547953,8.88E-06,0.051013033
Maryland,ADF Statistic,-3.703581555,-3.140737065,-5.415886103,-2.238367808,-12.53917357,-4.101550601,-3.20600632,-0.705014955,-3.269726145,-1.9523289,1.327174054,-4.107674564,-3.787431531
Maryland,P-value,0.022122478,0.096870187,3.37E-05,0.468293398,5.75E-20,0.006273877,0.083211498,0.972816229,0.071381531,0.627142265,1,0.006145326,0.017207752
Massachusetts,ADF Statistic,-4.496989543,-1.461488128,-3.530321843,-2.232067355,-3.64836129,-2.389303478,-4.090830513,-1.363344514,-2.475512527,-2.200448642,-4.772057061,-2.600357747,-2.728814522
Massachusetts,P-value,0.001526725,0.841949701,0.03625651,0.471826835,0.025991029,0.38532081,0.006504811,0.871354666,0.340311305,0.489598013,0.00052407,0.279728004,0.22431433
Michigan,ADF Statistic,-4.250305504,-3.25831751,-2.852011847,-4.234488485,-1.684781499,-2.599219584,-1.911418011,-1.948864839,-4.012143604,-2.498251937,-4.054967555,-5.713549031,-2.830903485
Michigan,P-value,0.003753737,0.073394871,0.178497242,0.003968636,0.757500503,0.280252009,0.648731899,0.628988437,0.008450506,0.328836815,0.007334635,8.60E-06,0.18582559
Minnesota,ADF Statistic,-3.075907636,-0.575010027,-6.512697449,-4.347109097,-7.219824664,-3.076203693,-0.09921346,-2.418592323,-4.747406635,-2.737052402,1.30742368,-3.105550206,-2.966379745
Minnesota,P-value,0.112078841,0.980183241,1.73E-07,0.002655628,4.47E-09,0.112005532,0.993077378,0.369782108,0.000578334,0.221022337,1,0.104915947,0.141724304
Mississippi,ADF Statistic,-5.783536526,-3.264469006,-3.201260965,-3.029203916,-4.731606209,-1.677356543,-4.05484293,-4.037424993,-2.548100076,-3.245604444,-4.71441014,-4.063346097,-2.272702135
Mississippi,P-value,6.19E-06,0.072303735,0.084150732,0.124098406,0.000615868,0.76069598,0.007337679,0.007774525,0.3043456,0.07569143,0.000659329,0.007132604,0.449103865
Missouri,ADF Statistic,-4.031621141,-3.265085609,-5.731649,-2.317209661,-3.868787749,-2.248672815,-3.72395484,-3.682069615,-3.07778225,-2.870899585,1.058474765,-1.893719953,-2.409076771
Missouri,P-value,0.007925233,0.072195081,7.90E-06,0.42445517,0.013385717,0.462521356,0.020827431,0.023565504,0.111615261,0.172122667,1,0.657917199,0.374804573
Montana,ADF Statistic,-5.321768836,-2.560179291,-2.532115623,-3.389654661,-2.825102359,1.612893219,-2.276448269,0.549612976,-3.028376724,-2.287213169,-3.394805051,-1.54286148,-2.10266573
Montana,P-value,5.13E-05,0.298555771,0.31209599,0.052785554,0.187877459,1,0.447018183,0.99693079,0.124319522,0.441035118,0.052085885,0.814006537,0.544603674
